date,state,daily
2021-02-21,Malaysia,222
2021-02-22,Malaysia,487
2021-02-23,Malaysia,443
2021-02-24,Malaysia,543
2021-02-25,Malaysia,431
2021-02-26,Malaysia,399
2021-02-27,Malaysia,129
2021-02-28,Malaysia,299
2021-03-01,Malaysia,390
2021-03-02,Malaysia,483
2021-03-03,Malaysia,501
2021-03-04,Malaysia,443
2021-03-05,Malaysia,375
2021-03-06,Malaysia,211
2021-03-07,Malaysia,329
2021-03-08,Malaysia,452
2021-03-09,Malaysia,530
2021-03-10,Malaysia,626
2021-03-11,Malaysia,308
2021-03-12,Malaysia,353
2021-03-13,Malaysia,284
2021-03-14,Malaysia,263
2021-03-15,Malaysia,476
2021-03-16,Malaysia,501
2021-03-17,Malaysia,683
2021-03-18,Malaysia,655
2021-03-19,Malaysia,365
2021-03-20,Malaysia,254
2021-03-21,Malaysia,242
2021-03-22,Malaysia,439
2021-03-23,Malaysia,511
2021-03-24,Malaysia,511
2021-03-25,Malaysia,501
2021-03-26,Malaysia,352
2021-03-27,Malaysia,205
2021-03-28,Malaysia,240
2021-03-29,Malaysia,472
2021-03-30,Malaysia,442
2021-03-31,Malaysia,565
2021-04-01,Malaysia,421
2021-04-02,Malaysia,393
2021-04-03,Malaysia,183
2021-04-04,Malaysia,181
2021-04-05,Malaysia,481
2021-04-06,Malaysia,504
2021-04-07,Malaysia,543
2021-04-08,Malaysia,562
2021-04-09,Malaysia,344
2021-04-10,Malaysia,285
2021-04-11,Malaysia,326
2021-04-12,Malaysia,445
2021-04-13,Malaysia,274
2021-04-14,Malaysia,393
2021-04-15,Malaysia,413
2021-04-16,Malaysia,318
2021-04-17,Malaysia,86
2021-04-18,Malaysia,148
2021-04-19,Malaysia,297
2021-04-20,Malaysia,453
2021-04-21,Malaysia,371
2021-04-22,Malaysia,452
2021-04-23,Malaysia,286
2021-04-24,Malaysia,91
2021-04-25,Malaysia,112
2021-04-26,Malaysia,252
2021-04-27,Malaysia,350
2021-04-28,Malaysia,277
2021-04-29,Malaysia,199
2021-04-30,Malaysia,216
2021-05-01,Malaysia,20
2021-05-02,Malaysia,78
2021-05-03,Malaysia,219
2021-05-04,Malaysia,250
2021-05-05,Malaysia,254
2021-05-06,Malaysia,327
2021-05-07,Malaysia,277
2021-05-08,Malaysia,71
2021-05-09,Malaysia,113
2021-05-10,Malaysia,205
2021-05-11,Malaysia,125
2021-05-12,Malaysia,58
2021-05-13,Malaysia,13
2021-05-14,Malaysia,22
